word,phonetic,meaning,meaningEn,example,exampleTranslation,roots
hierarchy,/ˈhaɪərɑːki/,n. 等级制度,ranking system,Social hierarchy persists.,社会等级制度持续存在。,hier(神圣)+archy
autonomy,/ɔːˈtɒnəmi/,n. 自主权,self-governance,Personal autonomy matters.,个人自主权很重要。,auto+nomy
anarchy,/ˈænəki/,n. 无政府状态,no rule,Descent into anarchy.,陷入无政府状态。,an+archy
monopoly,/məˈnɒpəli/,n. 垄断,exclusive control,Break the monopoly.,打破垄断。,mono+poly
democracy,/dɪˈmɒkrəsi/,n. 民主,people rule,Representative democracy.,代议制民主。,demo+cracy
aristocracy,/ˌærɪˈstɒkrəsi/,n. 贵族,upper class,The landed aristocracy.,地主贵族。,aristo+cracy
bureaucracy,/bjʊˈrɒkrəsi/,n. 官僚机构,complex admin,Reduce bureaucracy.,减少官僚机构。,bureau+cracy
plutocracy,/pluːˈtɒkrəsi/,n. 财阀统治,rule by wealth,Plutocracy undermines democracy.,财阀统治破坏民主。,pluto+cracy
meritocracy,/ˌmerɪˈtɒkrəsi/,n. 精英管理,rule by merit,A meritocracy values talent.,精英管理重视人才。,merit+cracy
hierarchy,/ˈhaɪərɑːki/,n. 层级制度,layered structure,Corporate hierarchy.,企业层级制度。,hier+archy
altruism,/ˈæltruɪzəm/,n. 利他主义,selflessness,Pure altruism is rare.,纯粹利他主义很稀有。,altru(其他)+ism
egoism,/ˈiːɡəʊɪzəm/,n. 利己主义,self-interest,Rational egoism.,理性利己主义。,ego(自我)+ism
hedonism,/ˈhedənɪzəm/,n. 享乐主义,pleasure seeking,Cultural hedonism.,文化享乐主义。,hedon(快乐)+ism
nihilism,/ˈnaɪɪlɪzəm/,n. 虚无主义,rejection of values,Philosophical nihilism.,哲学虚无主义。,nihil(无)+ism
stoicism,/ˈstəʊɪsɪzəm/,n. 斯多葛主义,endurance philosophy,Practice stoicism.,实践斯多葛主义。,stoic+ism
empiricism,/ɪmˈpɪrɪsɪzəm/,n. 经验主义,knowledge from experience,Scientific empiricism.,科学经验主义。,empiric+ism
rationalism,/ˈræʃnəlɪzəm/,n. 理性主义,reason-based philosophy,Enlightenment rationalism.,启蒙理性主义。,rational+ism
pragmatism,/ˈpræɡmətɪzəm/,n. 实用主义,practical philosophy,American pragmatism.,美国实用主义。,pragmat+ism
fatalism,/ˈfeɪtəlɪzəm/,n. 宿命论,belief in fate,Cultural fatalism.,文化宿命论。,fatal+ism
optimism,/ˈɒptɪmɪzəm/,n. 乐观主义,positive outlook,Boundless optimism.,无限乐观。,optim(最好)+ism
pessimism,/ˈpesɪmɪzəm/,n. 悲观主义,negative outlook,Deep pessimism.,深度悲观。,pessim(最坏)+ism
activism,/ˈæktɪvɪzəm/,n. 激进主义,political action,Environmental activism.,环保行动主义。,activ+ism
extremism,/ɪkˈstriːmɪzəm/,n. 极端主义,radical beliefs,Religious extremism.,宗教极端主义。,extrem+ism
pluralism,/ˈplʊərəlɪzəm/,n. 多元主义,diversity of views,Political pluralism.,政治多元主义。,plural+ism
individualism,/ˌɪndɪˈvɪdʒuəlɪzəm/,n. 个人主义,self-reliance,Western individualism.,西方个人主义。,individual+ism
collectivism,/kəˈlektɪvɪzəm/,n. 集体主义,group orientation,Asian collectivism.,亚洲集体主义。,collectiv+ism
absolutism,/ˈæbsəluːtɪzəm/,n. 绝对主义,uncompromising position,Moral absolutism.,道德绝对主义。,absolut+ism
relativism,/ˈrelətɪvɪzəm/,n. 相对主义,relative truth,Cultural relativism.,文化相对主义。,relativ+ism
humanism,/ˈhjuːmənɪzəm/,n. 人文主义,human-centered philosophy,Renaissance humanism.,文艺复兴人文主义。,human+ism
feminism,/ˈfemɪnɪzəm/,n. 女权主义,gender equality,Modern feminism.,现代女权主义。,femin+ism
patriotism,/ˈpætriətɪzəm/,n. 爱国主义,love of country,Express patriotism.,表达爱国主义。,patriot+ism
nationalism,/ˈnæʃnəlɪzəm/,n. 民族主义,national pride,Rise of nationalism.,民族主义兴起。,national+ism
cosmopolitanism,/ˌkɒzməˈpɒlɪtənɪzəm/,n. 世界主义,global outlook,Urban cosmopolitanism.,城市世界主义。,cosmopolitan+ism
environmentalism,/ɪnˌvaɪrənˈmentəlɪzəm/,n. 环保主义,environmental protection,Green environmentalism.,绿色环保主义。,environmental+ism
capitalism,/ˈkæpɪtəlɪzəm/,n. 资本主义,market economy,Industrial capitalism.,工业资本主义。,capital+ism
socialism,/ˈsəʊʃəlɪzəm/,n. 社会主义,state ownership,Democratic socialism.,民主社会主义。,social+ism
communism,/ˈkɒmjunɪzəm/,n. 共产主义,collective ownership,Marxist communism.,马克思主义共产主义。,commun+ism
fascism,/ˈfæʃɪzəm/,n. 法西斯主义,authoritarian nationalism,Rise of fascism.,法西斯主义兴起。,fasc+ism
anarchism,/ˈænəkɪzəm/,n. 无政府主义,no-government philosophy,Political anarchism.,政治无政府主义。,anarch+ism
totalitarianism,/təˌtælɪˈteəriənɪzəm/,n. 极权主义,total state control,Oppose totalitarianism.,反对极权主义。,totalitarian+ism
liberalism,/ˈlɪbərəlɪzəm/,n. 自由主义,individual freedom,Classical liberalism.,古典自由主义。,liberal+ism
conservatism,/kənˈsɜːvətɪzəm/,n. 保守主义,traditional values,Political conservatism.,政治保守主义。,conservat+ism
progressivism,/prəˈɡresɪvɪzəm/,n. 进步主义,social reform,Modern progressivism.,现代进步主义。,progressiv+ism
skepticism,/ˈskeptɪsɪzəm/,n. 怀疑论,questioning attitude,Healthy skepticism is wise.,健康的怀疑论是明智的。,skeptic+ism
cynicism,/ˈsɪnɪsɪzəm/,n. 愤世嫉俗,distrust of motives,Political cynicism.,政治上的愤世嫉俗。,cynic+ism
romanticism,/rəˈmæntɪsɪzəm/,n. 浪漫主义,emotional expression,Literary romanticism.,文学浪漫主义。,romantic+ism
realism,/ˈrɪəlɪzəm/,n. 现实主义,practical approach,Political realism.,政治现实主义。,real+ism
idealism,/aɪˈdɪəlɪzəm/,n. 理想主义,perfection-seeking,Youthful idealism.,青年理想主义。,ideal+ism
materialism,/məˈtɪəriəlɪzəm/,n. 唯物主义;物质主义,focus on matter,Consumer materialism.,消费物质主义。,material+ism
spiritualism,/ˈspɪrɪtʃuəlɪzəm/,n. 唯心主义,focus on spirit,Modern spiritualism.,现代唯心主义。,spiritual+ism
existentialism,/ˌeɡzɪˈstenʃəlɪzəm/,n. 存在主义,individual existence philosophy,French existentialism.,法国存在主义。,existential+ism
phenomenology,/fɪˌnɒmɪˈnɒlədʒi/,n. 现象学,study of experience,Phenomenology of perception.,感知现象学。,phomeno+logy
ontology,/ɒnˈtɒlədʒi/,n. 本体论,study of being,Applied ontology.,应用本体论。,ont(存在)+ology
aesthetics,/iːsˈθetɪks/,n. 美学,study of beauty,Environmental aesthetics.,环境美学。,aesthet(感觉)+ics
logic,/ˈlɒdʒɪk/,n. 逻辑学,study of reasoning,Formal logic is precise.,形式逻辑很精确。,log(说)+ic
rhetoric,/ˈretərɪk/,n. 修辞学,art of persuasion,Classical rhetoric.,古典修辞学。,rhetor+ic
ethics,/ˈeθɪks/,n. 伦理学,moral philosophy,Business ethics matters.,商业伦理很重要。,eth(品格)+ics
metaphysics,/ˌmetəˈfɪzɪks/,,n. 形而上学,study of reality,Analytical metaphysics.,分析形而上学。,meta+physics
politics,/ˈpɒlətɪks/,n. 政治学,government study,International politics.,国际政治学。,polit(公民)+ics
economics,/ˌiːkəˈnɒmɪks/,n. 经济学,study of economy,Behavioral economics.,行为经济学。,econom+ics
linguistics,/lɪŋˈɡwɪstɪks/,n. 语言学,study of language,Computational linguistics.,计算语言学。,linguist+ics
statistics,/stəˈtɪstɪks/,n. 统计学,data analysis,Applied statistics.,应用统计学。,statist+ics
athletics,/æθˈletɪks/,n. 田径,track and field,Competitive athletics.,竞技田径。,athlet+ics
gymnastics,/dʒɪmˈnæstɪks/,n. 体操,acrobatic exercise,Artistic gymnastics.,艺术体操。,gymnast+ics
acoustics,/əˈkuːstɪks/,n. 声学,science of sound,Room acoustics matter.,房间声学很重要。,acoust+ics
electronics,/ɪˌlekˈtrɒnɪks/,n. 电子学,electronic systems,Consumer electronics.,消费电子。,electron+ics
genetics,/dʒəˈnetɪks/,n. 遗传学,study of heredity,Molecular genetics.,分子遗传学。,genet+ics
