word,phonetic,meaning,meaningEn,example,exampleTranslation,roots
curriculum,/kəˈrɪkjələm/,n. 课程,set of courses offered,The university revised its curriculum.,大学修订了课程体系。,curr(跑)+icul+um
pedagogy,/ˈpedəɡɒdʒi/,n. 教育学,method of teaching,Modern pedagogy encourages critical thinking.,现代教育学鼓励批判性思维。,ped(儿童)+agog(引导)
syllabus,/ˈsɪləbəs/,n. 教学大纲,outline of subjects,The syllabus covers ten chapters.,大纲涵盖十个章节。,syl(共同)+labus
diploma,/dɪˈpləʊmə/,n. 文凭,certificate of completion,She earned her diploma.,她拿到了文凭。,dipl(双折)+oma
tuition,/tjuːˈɪʃn/,n. 学费,fees for instruction,Tuition fees have risen sharply.,学费大幅上涨。,tuit(教导)+ion
literacy,/ˈlɪtərəsi/,n. 读写能力,ability to read and write,Digital literacy is essential.,数字素养至关重要。,liter(文字)+acy
discipline,/ˈdɪsɪplɪn/,n. 学科,field of study,Psychology is a fascinating discipline.,心理学是一门迷人的学科。,discip(学习)+ine
lecture,/ˈlektʃər/,n. 讲座,educational talk,The professor gave a brilliant lecture.,教授做了一场精彩的讲座。,lect(读)+ure
assignment,/əˈsaɪnmənt/,n. 作业,task given,The assignment is due Friday.,作业周五截止。,assign(分配)+ment
dissertation,/ˌdɪsəˈteɪʃn/,n. 学位论文,long essay for degree,Her dissertation won the prize.,她的论文获奖了。,dis(分)+sert(连接)+ation
undergraduate,/ˌʌndəˈɡrædʒuət/,n. 本科生,student before first degree,He is an undergraduate.,他是本科生。,under+graduate
postgraduate,/ˌpəʊstˈɡrædʒuət/,n. 研究生,student beyond first degree,She is a postgraduate in biology.,她是生物学研究生。,post+graduate
thesis,/ˈθiːsɪs/,n. 论文,statement to prove,His doctoral thesis was accepted.,他的博士论文通过了。,thes(放置)+is
cognitive,/ˈkɒɡnətɪv/,adj. 认知的,relating to thinking,Cognitive development occurs in stages.,认知发展分阶段。,cogn(知道)+itive
methodology,/ˌmeθəˈdɒlədʒi/,n. 方法论,system of methods,The methodology needs improvement.,方法论需要改进。,method+ology
empirical,/ɪmˈpɪrɪkl/,adj. 实证的,based on observation,Empirical evidence supports the theory.,实证证据支持该理论。,em+pir(尝试)+ical
hypothesis,/haɪˈpɒθəsɪs/,n. 假设,proposed explanation,Test the hypothesis with experiments.,用实验检验假设。,hypo(下)+thesis(放)
enrollment,/ɪnˈrəʊlmənt/,n. 注册,act of registering,Enrollment has doubled.,入学人数翻倍了。,en+roll(名册)+ment
scholarship,/ˈskɒləʃɪp/,n. 奖学金,financial aid,She won a full scholarship.,她获得了全额奖学金。,scholar+ship
semester,/sɪˈmestə/,n. 学期,half academic year,Fall semester begins in September.,秋季学期九月开始。,seme(六)+ster
academy,/əˈkædəmi/,n. 学院,educational institution,Royal Academy of Sciences.,皇家科学院。,academ(学园)+y
tutor,/ˈtjuːtə/,n. 导师,private teacher,She hired a math tutor.,她请了数学家教。,tuit(看管)+or
mentor,/ˈmentɔː/,n. 导师,experienced advisor,He has been my mentor for years.,他多年来一直是我的导师。,ment(心智)+or
certify,/ˈsɜːtɪfaɪ/,v. 认证,to confirm officially,The board certified the program.,委员会认证了该项目。,cert(确定)+ify
qualification,/ˌkwɒlɪfɪˈkeɪʃn/,n. 资格,official ability,Professional qualifications needed.,需要专业资格。,quali(品质)+fic+ation
